Row,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_1.0_CR_3.0_LD_0.9,0.0480053766021794,16,10,3,7,16.1,8.1
R0_1.0_CR_3.0_LD_0.0,0.0480053766021794,17,11,3,8,16.1,8.1
R0_1.0_CR_6.0_LD_0.9,0.0630596544330937,15,11,2,9,14.1,8.1
R0_1.0_CR_6.0_LD_0.0,0.0630596544330937,16,12,2,9,14.1,8.1
R0_1.0_CR_10.0_LD_0.9,0.0670151454228656,14,12,1.2,10,14.1,8.1
R0_1.0_CR_10.0_LD_0.0,0.0670151454228656,16,13.5,1.2,11,14.1,8.1
R0_1.0_CR_20.0_LD_0.9,0.0725742071267871,14,13,0.6,12,13.1,7.1
R0_1.0_CR_20.0_LD_0.0,0.0725742071267871,17,16,0.9,14,13.1,7.1
R0_1.0_CR_30.0_LD_0.9,0.081327260897853,15,14,0.4,13,12.1,7.1
R0_1.0_CR_30.0_LD_0.0,0.081327260897853,19,18,0.6,16,12.1,7.1
R0_1.5_CR_3.0_LD_0.9,0.0949938254013489,21,11,4.2,9,16.1,8.1
R0_1.5_CR_3.0_LD_0.0,0.0949938254013489,22,12,4.2,9,16.1,8.1
R0_1.5_CR_6.0_LD_0.9,0.0977039570102589,18.5,12,2.6,10,14.1,8.1
R0_1.5_CR_6.0_LD_0.0,0.0977039570102589,21,14,2.6,12,14.1,8.1
R0_1.5_CR_10.0_LD_0.9,0.111457868925546,19,14,1.8,13,13.1,7.1
R0_1.5_CR_10.0_LD_0.0,0.111457868925546,24,19,2,18,13.1,7.1
R0_1.5_CR_20.0_LD_0.9,0.120831319478009,21,17,1.2,17,12.1,7.1
R0_1.5_CR_20.0_LD_0.0,0.120831319478009,34,25,1.2,29,12.1,7.1
R0_1.5_CR_30.0_LD_0.9,0.111769308147983,20,17,0.6,17,11.6,7.1
R0_1.5_CR_30.0_LD_0.0,0.111769308147983,32,25,1,28,11.6,7.1
R0_2.0_CR_3.0_LD_0.9,0.140350877192982,26,12,5.6,11,15.1,8.1
R0_2.0_CR_3.0_LD_0.0,0.140350877192982,29,14,5.6,13,15.1,8.1
R0_2.0_CR_6.0_LD_0.9,0.149075730471079,25,15,3.6,14,14.1,7.1
R0_2.0_CR_6.0_LD_0.0,0.149075730471079,32,20,3.6,19,14.1,7.1
R0_2.0_CR_10.0_LD_0.9,0.14208581983518,24,16,2.4,16,13.1,7.1
R0_2.0_CR_10.0_LD_0.0,0.14208581983518,35,24,2.6,26,13.1,7.1
R0_2.0_CR_20.0_LD_0.9,0.151791135397693,27,18.5,1.6,22,12.1,7.1
R0_2.0_CR_20.0_LD_0.0,0.151791135397693,48.5,28,2,43,12.1,7.1
R0_2.0_CR_30.0_LD_0.9,0.145623998835008,30,20,1.2,26,11.1,7.1
R0_2.0_CR_30.0_LD_0.0,0.145623998835008,64,29,1.4,60,11.1,7.1
R0_2.4_CR_3.0_LD_0.9,0.181488203266788,31,14,7,13,15.1,7.1
R0_2.4_CR_3.0_LD_0.0,0.181488203266788,36,17,7,16,15.1,7.1
R0_2.4_CR_6.0_LD_0.9,0.174733531364669,29,16,4.5,16,14.1,7.1
R0_2.4_CR_6.0_LD_0.0,0.174733531364669,41,24,4.5,25,14.1,7.1
R0_2.4_CR_10.0_LD_0.9,0.170706725844998,29.5,18,3.2,19,13.1,7.1
R0_2.4_CR_10.0_LD_0.0,0.170706725844998,48,26,3.4,37,13.1,7.1
R0_2.4_CR_20.0_LD_0.9,0.16926201760325,34,20,2,27,12.1,7.1
R0_2.4_CR_20.0_LD_0.0,0.16926201760325,69.5,29,2.2,62,12.1,7.1
R0_2.4_CR_30.0_LD_0.9,0.161733786187935,35,21,1.4,31,11.1,7.1
R0_2.4_CR_30.0_LD_0.0,0.161733786187935,77,29,1.6,72,11.1,7.1
