Row,p_outbreak,cum_I_q90,OB_duration_q90,peak_FTE_def_q90,cum_Res_Iso_q90,t_declare_q90,t_first_case_q90
R0_1.0_CR_3.0_LD_0.9,0.0480053766021794,31,15,7,14,29.1,14.1
R0_1.0_CR_3.0_LD_0.0,0.0480053766021794,33,18,7.2,15,29.1,14.1
R0_1.0_CR_6.0_LD_0.9,0.0630596544330937,29,18,5.6,18,26.1,14.1
R0_1.0_CR_6.0_LD_0.0,0.0630596544330937,34,24,5.6,23,26.1,14.1
R0_1.0_CR_10.0_LD_0.9,0.0670151454228656,28,19,3.6,20,26.1,14.1
R0_1.0_CR_10.0_LD_0.0,0.0670151454228656,34.5,27,3.6,28,26.1,14.1
R0_1.0_CR_20.0_LD_0.9,0.0725742071267871,30,21,2.4,26,22.1,14.1
R0_1.0_CR_20.0_LD_0.0,0.0725742071267871,41.5,31,2.4,38,22.1,14.1
R0_1.0_CR_30.0_LD_0.9,0.081327260897853,34,22,2,30,21.1,12.6
R0_1.0_CR_30.0_LD_0.0,0.081327260897853,50,34,2,46,21.1,12.6
R0_1.5_CR_3.0_LD_0.9,0.0949938254013489,39,17,10.1,16,30.1,14.1
R0_1.5_CR_3.0_LD_0.0,0.0949938254013489,42,23,10.2,20,30.1,14.1
R0_1.5_CR_6.0_LD_0.9,0.0977039570102589,37,20,7.6,22,25.1,13.1
R0_1.5_CR_6.0_LD_0.0,0.0977039570102589,46,29,7.4,31.5,25.1,13.1
R0_1.5_CR_10.0_LD_0.9,0.111457868925546,40,23.5,5.4,30,24.1,14.1
R0_1.5_CR_10.0_LD_0.0,0.111457868925546,57,35,5.5,48,24.1,14.1
R0_1.5_CR_20.0_LD_0.9,0.120831319478009,45,26,3.6,38,21.1,13.1
R0_1.5_CR_20.0_LD_0.0,0.120831319478009,74,44,4,67,21.1,13.1
R0_1.5_CR_30.0_LD_0.9,0.111769308147983,44,26,2.6,41,21.1,13.1
R0_1.5_CR_30.0_LD_0.0,0.111769308147983,74,42,2.8,69,21.1,13.1
R0_2.0_CR_3.0_LD_0.9,0.140350877192982,50.5,20,13.2,21,27.6,14.1
R0_2.0_CR_3.0_LD_0.0,0.140350877192982,58.5,29,13.4,30,27.6,14.1
R0_2.0_CR_6.0_LD_0.9,0.149075730471079,49,24,9.3,29.5,26.1,14.1
R0_2.0_CR_6.0_LD_0.0,0.149075730471079,68,37,9.6,50,26.1,14.1
R0_2.0_CR_10.0_LD_0.9,0.14208581983518,49.5,25,7.2,35,23.1,14.1
R0_2.0_CR_10.0_LD_0.0,0.14208581983518,76,41,7.5,60,23.1,14.1
R0_2.0_CR_20.0_LD_0.9,0.151791135397693,57,29,4.8,48,22.1,13.1
R0_2.0_CR_20.0_LD_0.0,0.151791135397693,87,43,4.8,78,22.1,13.1
R0_2.0_CR_30.0_LD_0.9,0.145623998835008,60,31,3.8,53,21.1,13.1
R0_2.0_CR_30.0_LD_0.0,0.145623998835008,89,45,3.8,82,21.1,13.1
R0_2.4_CR_3.0_LD_0.9,0.181488203266788,58,22,15.4,25,26.6,14.1
R0_2.4_CR_3.0_LD_0.0,0.181488203266788,68,32.5,15.4,36.5,26.6,14.1
R0_2.4_CR_6.0_LD_0.9,0.174733531364669,58.5,25,11.8,35,25.1,13.1
R0_2.4_CR_6.0_LD_0.0,0.174733531364669,85,41,11.8,62.5,25.1,13.1
R0_2.4_CR_10.0_LD_0.9,0.170706725844998,60,28,8.9,42.5,24.1,13.1
R0_2.4_CR_10.0_LD_0.0,0.170706725844998,90,44,8.6,72,24.1,13.1
R0_2.4_CR_20.0_LD_0.9,0.16926201760325,66,31,5.6,55,21.1,12.1
R0_2.4_CR_20.0_LD_0.0,0.16926201760325,96,45,5.8,84,21.1,12.1
R0_2.4_CR_30.0_LD_0.9,0.161733786187935,69,32,4.2,60,20.1,12.1
R0_2.4_CR_30.0_LD_0.0,0.161733786187935,95,46,4.6,86,20.1,12.1
