run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,1,152,0.19793021392547697,13.4
2,10000003,88,121,73.8,worker,1,0,151,1.6585488350886816e-8,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.059018135603007824,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.002490845909106915,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.006443326321500918,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,8.363979713884554e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.00746707783473278,15.5
8,10000003,88,121,73.8,resident,0,1,59,3.3717493466972612e-9,12.5
9,10000003,88,121,73.8,resident,10,62,78,1.4996549195766173,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.000399027174529298,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.004720969708953899,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0005139872637006408,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,5.4788517800003435e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,4,15,0.04386418970889523,12.200000000000001
15,10000003,88,121,73.8,worker,17,9,157,1.6625945697208833,11.9
16,10000003,88,121,73.8,worker,2,0,165,0.0542269355767213,14.600000000000001
17,10000003,88,121,73.8,worker,14,7,198,2.088562335487305,16.400000000000002
18,10000003,88,121,73.8,resident,0,12,73,0.17377579818049219,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.0103616740900549e-5,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,3.024659651406078e-9,16.0
21,10000003,88,121,73.8,worker,23,7,112,1.256853936730565,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,2.00963496123785e-11,14.100000000000001
23,10000003,88,121,73.8,resident,5,59,56,0.9053022276419479,15.100000000000001
24,10000003,88,121,73.8,worker,4,2,151,0.22109750434411107,14.8
25,10000003,88,121,73.8,worker,1,2,144,0.15998114837440228,10.0
26,10000003,88,121,73.8,worker,1,0,119,4.863440365699691e-6,12.8
27,10000003,88,121,73.8,worker,6,2,109,0.30661619622553865,16.0
28,10000003,88,121,73.8,worker,3,0,175,0.14843001565586425,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,3.337123151222085e-6,15.5
30,10000003,88,121,73.8,resident,1,8,42,0.04613523124111652,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.00021592858706875336,13.200000000000001
32,10000003,88,121,73.8,worker,10,4,154,0.8772985198843999,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0011895634883111474,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.029064776732079797,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.000999944794112853,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,8.788296945518152e-6,19.200000000000003
37,10000003,88,121,73.8,worker,19,8,136,4.550524305874057,11.9
38,10000003,88,121,73.8,worker,1,0,162,0.00013174608155453355,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.006070665406836018,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.20045714102002948,13.200000000000001
41,10000003,88,121,73.8,resident,4,70,68,1.797538860367033,15.3
42,10000003,88,121,73.8,worker,8,2,102,1.0759686475165269,13.3
43,10000003,88,121,73.8,worker,1,0,170,9.369795960824824e-5,12.100000000000001
