run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,0,152,0.09330995799343915,13.4
2,10000003,88,121,73.8,worker,1,0,151,7.818873079703787e-9,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.027822835355703693,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0011742559285789743,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.0030375681229932896,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,3.943019007974147e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.003520193836374025,15.5
8,10000003,88,121,73.8,resident,0,1,59,1.589538977728709e-9,12.5
9,10000003,88,121,73.8,resident,6,51,78,0.706980176371834,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.0001881128108495262,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0022256000056496954,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.00024230828145887357,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,2.5828872677144475e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,2,15,0.020678832291336324,12.200000000000001
15,10000003,88,121,73.8,worker,10,5,157,0.7837945828684164,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.025564126771882897,14.600000000000001
17,10000003,88,121,73.8,worker,9,4,198,0.9846079581583012,16.400000000000002
18,10000003,88,121,73.8,resident,0,9,73,0.08192287628508918,13.3
19,10000003,88,121,73.8,worker,1,0,107,4.763133606424545e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,1.4259109785200084e-9,16.0
21,10000003,88,121,73.8,worker,11,3,112,0.5925168558872663,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,9.473993388692721e-12,14.100000000000001
23,10000003,88,121,73.8,resident,3,41,56,0.4267853358883469,15.100000000000001
24,10000003,88,121,73.8,worker,5,0,151,0.10423168061936663,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.07541968423364678,10.0
26,10000003,88,121,73.8,worker,1,0,119,2.2927647438298547e-6,12.8
27,10000003,88,121,73.8,worker,6,1,109,0.14454763536346824,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.06997415023776458,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,1.5732151998618401e-6,15.5
30,10000003,88,121,73.8,resident,2,4,42,0.02174946615652636,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.0001017949053324123,13.200000000000001
32,10000003,88,121,73.8,worker,5,1,154,0.4135835879455028,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0005607942159181125,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.013701966173694761,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.00047140254579605933,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,4.1430542743157e-6,19.200000000000003
37,10000003,88,121,73.8,worker,14,5,136,2.1452471727691984,11.9
38,10000003,88,121,73.8,worker,1,0,162,6.210886701856581e-5,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.0028618851203655515,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.09450122362372819,13.200000000000001
41,10000003,88,121,73.8,resident,3,47,68,0.8474111770301728,15.3
42,10000003,88,121,73.8,worker,5,2,102,0.5072423624006484,13.3
43,10000003,88,121,73.8,worker,1,0,170,4.4171895243888456e-5,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,2.161274869212425e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.08619065478218584,9.3
46,10000003,88,121,73.8,resident,1,2,4,0.002303313589230097,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,2.4594662541950926e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,3.4904652849202087e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.01256171587834419,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.00010058884903016053,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.002046248263986348,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.008733751191980622,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.001274042279236905,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.06994971521244979,9.5
55,10000003,88,121,73.8,resident,0,6,44,0.07050240194360377,16.1
56,10000003,88,121,73.8,resident,1,14,73,0.1448636381693564,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.002639332463504327,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.0027924799947879973,16.400000000000002
59,10000003,88,121,73.8,resident,8,50,58,1.3794510915282343,8.200000000000001
60,10000003,88,121,73.8,worker,1,0,193,0.01890391778379767,9.4
61,10000003,88,121,73.8,resident,0,1,12,4.5216420120851533e-10,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,0.00011270060317251905,16.8
63,10000003,88,121,73.8,worker,1,1,157,0.15829819302059225,14.5
64,10000003,88,121,73.8,worker,1,0,105,5.5850673463922456e-5,14.4
65,10000003,88,121,73.8,worker,2,0,109,0.09463625477386191,11.9
66,10000003,88,121,73.8,worker,1,0,128,0.1610836142885416,9.9
67,10000003,88,121,73.8,resident,0,1,47,1.6038484370945867e-5,17.900000000000002
68,10000003,88,121,73.8,resident,0,1,19,2.8409726643869694e-7,11.4
69,10000003,88,121,73.8,resident,0,9,75,0.07011566166722037,15.100000000000001
70,10000003,88,121,73.8,worker,1,0,178,0.005137745976113077,13.0
71,10000003,88,121,73.8,resident,0,1,74,1.2012038836888488e-7,13.4
72,10000003,88,121,73.8,resident,2,15,87,0.33255102755445115,13.9
73,10000003,88,121,73.8,resident,1,1,83,0.00633634663089515,10.3
74,10000003,88,121,73.8,resident,1,28,78,0.32272044492762925,14.9
75,10000003,88,121,73.8,resident,0,1,62,0.03756138023640665,12.3
76,10000003,88,121,73.8,worker,1,0,116,1.639404296326312e-5,8.4
77,10000003,88,121,73.8,worker,5,1,186,0.28510328595215634,12.0
78,10000003,88,121,73.8,worker,1,1,140,0.014038921738345962,13.3
79,10000003,88,121,73.8,resident,2,22,27,0.4180523985886211,10.8
80,10000003,88,121,73.8,resident,1,10,32,0.0644068635469505,24.8
81,10000003,88,121,73.8,worker,6,4,89,0.536136263834568,12.0
82,10000003,88,121,73.8,worker,7,1,109,0.484964784340084,9.5
83,10000003,88,121,73.8,worker,1,0,133,6.133914348693699e-6,18.0
84,10000003,88,121,73.8,worker,1,0,164,2.6406368498127594e-6,8.700000000000001
85,10000003,88,121,73.8,worker,16,6,123,0.7072651705181915,14.200000000000001
86,10000003,88,121,73.8,worker,1,0,178,1.1731550863394824e-13,21.3
87,10000003,88,121,73.8,worker,5,1,140,0.2548137362540824,12.9
88,10000003,88,121,73.8,worker,1,0,171,0.001723095155891429,13.200000000000001
89,10000003,88,121,73.8,worker,1,0,186,0.0036736866152796174,17.5
90,10000003,88,121,73.8,resident,2,22,23,0.2543263893736792,11.100000000000001
91,10000003,88,121,73.8,worker,1,0,138,0.007489442885741697,15.200000000000001
92,10000003,88,121,73.8,worker,4,1,156,0.45357253537307735,16.900000000000002
93,10000003,88,121,73.8,resident,0,1,41,1.6892610642153785e-6,13.5
94,10000003,88,121,73.8,worker,18,6,112,1.4230396750584366,13.600000000000001
95,10000003,88,121,73.8,worker,5,1,181,1.2094148258498185,12.3
96,10000003,88,121,73.8,worker,1,0,200,0.06422708136398873,17.1
97,10000003,88,121,73.8,worker,1,0,198,1.4731995162305883e-14,13.9
98,10000003,88,121,73.8,resident,0,1,15,0.0005171373138464263,9.4
99,10000003,88,121,73.8,resident,1,4,34,0.02869584279004885,22.6
100,10000003,88,121,73.8,worker,1,0,109,0.003019115077029747,12.0
101,10000003,88,121,73.8,worker,8,5,125,1.614380112848696,11.200000000000001
102,10000003,88,121,73.8,worker,1,0,123,1.0734516894724211e-5,12.100000000000001
103,10000003,88,121,73.8,resident,0,1,69,0.0003910704204611148,12.100000000000001
104,10000003,88,121,73.8,worker,1,0,126,8.207338781877236e-16,13.100000000000001
105,10000003,88,121,73.8,worker,2,2,136,0.5059438169127611,15.100000000000001
106,10000003,88,121,73.8,resident,0,5,45,0.03170324878500495,10.4
107,10000003,88,121,73.8,worker,1,0,93,0.010345501844927524,11.100000000000001
108,10000003,88,121,73.8,worker,1,1,187,0.09002666542468431,12.100000000000001
109,10000003,88,121,73.8,worker,1,0,124,0.0023148211603296505,8.9
110,10000003,88,121,73.8,worker,8,0,127,0.6899193205624871,11.700000000000001
111,10000003,88,121,73.8,worker,2,0,139,0.049144535862677106,10.4
112,10000003,88,121,73.8,worker,2,0,109,0.013453358600629644,12.4
113,10000003,88,121,73.8,worker,1,0,147,7.251531537795932e-7,10.100000000000001
114,10000003,88,121,73.8,worker,1,0,165,2.0089479580637543e-12,10.700000000000001
115,10000003,88,121,73.8,worker,3,1,144,0.43643264735531473,11.4
116,10000003,88,121,73.8,worker,1,0,163,4.703215864888836e-5,13.0
117,10000003,88,121,73.8,worker,1,0,185,4.581031721038281e-5,11.100000000000001
118,10000003,88,121,73.8,worker,1,0,102,0.0005506637244978252,11.4
119,10000003,88,121,73.8,worker,1,0,167,1.6225370604799857e-6,10.4
120,10000003,88,121,73.8,worker,1,0,124,0.00014494745353318177,8.200000000000001
121,10000003,88,121,73.8,worker,1,0,111,0.27648225735173365,9.700000000000001
122,10000003,88,121,73.8,worker,1,0,166,0.003805913359260448,10.600000000000001
123,10000003,88,121,73.8,resident,1,4,51,0.09028150429058907,9.700000000000001
124,10000003,88,121,73.8,resident,0,2,86,0.027321132416246764,9.4
125,10000003,88,121,73.8,resident,0,1,30,0.000130752973049724,16.7
126,10000003,88,121,73.8,resident,0,2,70,0.008843866056435778,13.8
127,10000003,88,121,73.8,worker,1,0,162,8.004220755073398e-5,25.700000000000003
128,10000003,88,121,73.8,worker,1,0,129,0.0021714026723672923,9.8
129,10000003,88,121,73.8,worker,1,0,174,0.10603967187004353,10.9
130,10000003,88,121,73.8,worker,1,0,101,9.81932753584204e-6,11.700000000000001
131,10000003,88,121,73.8,resident,0,1,68,0.011232511282002576,11.5
132,10000003,88,121,73.8,resident,1,6,44,0.1321981542300693,10.0
133,10000003,88,121,73.8,worker,1,0,169,0.0008598091369233014,9.0
134,10000003,88,121,73.8,worker,2,0,140,0.0035587515184431115,10.100000000000001
135,10000003,88,121,73.8,resident,0,5,10,0.015253073298435515,15.100000000000001
136,10000003,88,121,73.8,worker,1,0,126,6.499079903825372e-8,18.0
137,10000003,88,121,73.8,worker,1,0,171,8.645625669163977e-7,9.200000000000001
138,10000003,88,121,73.8,worker,1,1,117,0.12952532011471982,12.4
139,10000003,88,121,73.8,worker,7,2,148,0.646874391044452,10.9
140,10000003,88,121,73.8,resident,0,1,17,0.00021248407023988897,14.200000000000001
141,10000003,88,121,73.8,worker,1,0,195,0.00023690109389501186,11.5
142,10000003,88,121,73.8,worker,2,1,152,0.15021200253897993,16.1
143,10000003,88,121,73.8,resident,4,52,83,1.7266127554651047,9.9
144,10000003,88,121,73.8,worker,1,0,115,1.6187491550537844e-6,17.6
145,10000003,88,121,73.8,worker,1,0,124,2.1445961679680946e-5,11.600000000000001
146,10000003,88,121,73.8,worker,1,0,139,0.10556641747961135,14.100000000000001
147,10000003,88,121,73.8,resident,0,2,20,0.012593628840920048,7.7
148,10000003,88,121,73.8,worker,1,0,181,3.8092687453549264e-7,9.700000000000001
149,10000003,88,121,73.8,resident,0,1,9,0.006495249951799674,15.4
150,10000003,88,121,73.8,resident,6,53,83,1.1059223856849298,23.1
151,10000003,88,121,73.8,worker,1,0,168,3.158391891685445e-11,8.3
152,10000003,88,121,73.8,worker,8,1,146,1.115942815800821,15.9
153,10000003,88,121,73.8,resident,0,1,13,5.193180758982641e-9,17.6
154,10000003,88,121,73.8,worker,1,0,114,0.0015878348882861519,17.5
155,10000003,88,121,73.8,worker,8,1,135,0.7684514558252423,9.600000000000001
156,10000003,88,121,73.8,resident,0,5,30,0.04556429686658192,9.200000000000001
157,10000003,88,121,73.8,resident,0,3,1,0.03176991673700855,11.0
158,10000003,88,121,73.8,worker,1,0,173,0.04502042540736105,15.9
159,10000003,88,121,73.8,worker,24,12,127,3.6172861657153654,18.1
160,10000003,88,121,73.8,worker,1,0,168,0.0022491053388521962,15.200000000000001
161,10000003,88,121,73.8,worker,14,4,137,1.0200894860195646,10.4
162,10000003,88,121,73.8,worker,1,0,118,0.001059886800383631,10.9
163,10000003,88,121,73.8,worker,1,0,153,0.03600127034898149,10.5
164,10000003,88,121,73.8,worker,1,0,128,5.228463600226375e-6,10.4
165,10000003,88,121,73.8,worker,3,1,117,0.11244145772693079,13.700000000000001
166,10000003,88,121,73.8,worker,1,0,107,1.91907466675277e-7,12.700000000000001
167,10000003,88,121,73.8,worker,5,1,188,0.9339087197143093,12.9
168,10000003,88,121,73.8,worker,2,2,94,0.38035142233593966,17.1
169,10000003,88,121,73.8,worker,1,0,147,2.061510492766169e-5,13.9
170,10000003,88,121,73.8,worker,1,1,148,0.030475380866313854,11.100000000000001
171,10000003,88,121,73.8,worker,1,0,101,1.4889601302594097e-5,14.700000000000001
172,10000003,88,121,73.8,worker,12,6,128,0.6353570174680957,12.100000000000001
173,10000003,88,121,73.8,resident,1,11,66,0.09160495013659686,13.8
174,10000003,88,121,73.8,worker,1,0,162,1.981621735802316e-10,16.3
175,10000003,88,121,73.8,worker,1,0,112,1.4033743449388936e-5,12.700000000000001
176,10000003,88,121,73.8,worker,1,0,97,0.0002429260786000839,11.100000000000001
177,10000003,88,121,73.8,worker,1,0,132,1.0307895269299328e-6,16.7
178,10000003,88,121,73.8,worker,1,0,199,0.0001812746462499418,9.200000000000001
179,10000003,88,121,73.8,worker,1,0,165,0.0033987533845792586,12.3
180,10000003,88,121,73.8,worker,1,0,142,7.276106242368965e-8,12.700000000000001
181,10000003,88,121,73.8,resident,0,1,25,5.980195013702513e-5,13.0
182,10000003,88,121,73.8,worker,1,0,137,0.0009009469614427209,10.3
183,10000003,88,121,73.8,resident,0,2,35,0.00023344676697646511,14.0
184,10000003,88,121,73.8,resident,2,8,1,0.2380778449342407,8.8
