run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,1,152,0.214895660833375,13.4
2,10000003,88,121,73.8,worker,1,0,151,1.800710163810569e-8,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.0640768329404085,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.002704346987030365,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.006995611434772425,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,9.080892260788945e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.008107113077709876,15.5
8,10000003,88,121,73.8,resident,0,1,59,3.660756433557026e-9,12.5
9,10000003,88,121,73.8,resident,9,21,78,1.6281967698260418,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.00043322950377466644,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.005125624255435662,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.0005580433148749815,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,5.9484676468575155e-18,14.600000000000001
14,10000003,88,121,73.8,resident,1,2,15,0.04762397739822911,12.200000000000001
15,10000003,88,121,73.8,worker,16,8,157,1.8051026756969588,11.9
16,10000003,88,121,73.8,worker,2,0,165,0.05887495862615455,14.600000000000001
17,10000003,88,121,73.8,worker,18,7,198,2.2675819642433597,16.400000000000002
18,10000003,88,121,73.8,resident,0,2,73,0.18867086659596297,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.0969641032977738e-5,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,3.2839161929551707e-9,16.0
21,10000003,88,121,73.8,worker,22,8,112,1.3645842741646133,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,2.1818893864868085e-11,14.100000000000001
23,10000003,88,121,73.8,resident,4,15,56,0.9828995614398293,15.100000000000001
24,10000003,88,121,73.8,worker,4,2,151,0.2400487190021777,14.8
25,10000003,88,121,73.8,worker,1,2,144,0.17369381823506533,10.0
26,10000003,88,121,73.8,worker,1,0,119,5.2803066827596644e-6,12.8
27,10000003,88,121,73.8,worker,6,2,109,0.332897584473442,16.0
28,10000003,88,121,73.8,worker,3,0,175,0.1611525884263669,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,3.623162278469692e-6,15.5
30,10000003,88,121,73.8,resident,0,2,42,0.050089679633212224,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.00023443675167464652,13.200000000000001
32,10000003,88,121,73.8,worker,10,4,154,0.9524955358744912,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0012915260730235315,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.031556043309115205,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0010856543478939547,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,9.54157954084828e-6,19.200000000000003
37,10000003,88,121,73.8,worker,19,8,136,4.940569246377548,11.9
38,10000003,88,121,73.8,worker,1,0,162,0.0001430386028306364,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.006591008155993392,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.21763918167888915,13.200000000000001
41,10000003,88,121,73.8,resident,7,24,68,1.9516136198270644,15.3
42,10000003,88,121,73.8,worker,9,1,102,1.168194531589372,13.3
43,10000003,88,121,73.8,worker,1,0,170,0.00010172921328895524,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,4.977481516974069e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,1,142,0.19849968980139768,9.3
46,10000003,88,121,73.8,resident,0,1,4,0.005304600993378405,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,5.664225312691727e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,8.03864732284654e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.02893001232588359,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.00023165916746339997,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.004712571759483711,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.020114093654258404,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.0029341579764243873,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.16109631382261164,9.5
55,10000003,88,121,73.8,resident,1,5,44,0.162369168112542,16.1
56,10000003,88,121,73.8,resident,2,3,73,0.33362534851124503,12.600000000000001
57,10000003,88,121,73.8,worker,1,0,120,0.006078462643222085,11.3
58,10000003,88,121,73.8,worker,1,0,108,0.00643116604860266,16.400000000000002
59,10000003,88,121,73.8,resident,8,14,58,3.1769176653377516,8.200000000000001
60,10000003,88,121,73.8,worker,2,0,193,0.04353629550207948,9.4
61,10000003,88,121,73.8,resident,0,1,12,1.0413478573287018e-9,17.400000000000002
62,10000003,88,121,73.8,worker,1,0,167,0.0002595529042761045,16.8
63,10000003,88,121,73.8,worker,10,2,157,0.36456553544136394,14.5
64,10000003,88,121,73.8,worker,1,0,105,0.00012862579343206383,14.4
65,10000003,88,121,73.8,worker,7,3,109,0.21795016250950017,11.9
66,10000003,88,121,73.8,worker,7,1,128,0.37098044502815636,9.9
67,10000003,88,121,73.8,resident,0,1,47,3.6937115520966235e-5,17.900000000000002
68,10000003,88,121,73.8,resident,0,1,19,6.54284613616393e-7,11.4
69,10000003,88,121,73.8,resident,0,3,75,0.16147849353662874,15.100000000000001
70,10000003,88,121,73.8,worker,1,0,178,0.011832384672260419,13.0
71,10000003,88,121,73.8,resident,0,1,74,2.7664089442531063e-7,13.4
72,10000003,88,121,73.8,resident,5,8,87,0.7658750937617663,13.9
73,10000003,88,121,73.8,resident,0,1,83,0.014592798301455495,10.3
74,10000003,88,121,73.8,resident,3,13,78,0.7432349640757522,14.9
75,10000003,88,121,73.8,resident,1,2,62,0.08650499690808804,12.3
76,10000003,88,121,73.8,worker,1,0,116,3.775597773357567e-5,8.4
77,10000003,88,121,73.8,worker,7,1,186,0.6566015070413297,12.0
78,10000003,88,121,73.8,worker,1,1,140,0.03233206218528161,13.3
79,10000003,88,121,73.8,resident,5,13,27,0.962787342204097,10.8
80,10000003,88,121,73.8,resident,1,3,32,0.14833095847176478,24.8
81,10000003,88,121,73.8,worker,6,7,89,1.2347380621644595,12.0
82,10000003,88,121,73.8,worker,14,6,109,1.116888594237769,9.5
83,10000003,88,121,73.8,worker,1,0,133,1.4126590621233971e-5,18.0
84,10000003,88,121,73.8,worker,1,0,164,6.081466684417264e-6,8.700000000000001
85,10000003,88,121,73.8,worker,27,7,123,1.6288531199812895,14.200000000000001
86,10000003,88,121,73.8,worker,1,0,178,2.7018117139939597e-13,21.3
87,10000003,88,121,73.8,worker,14,6,140,0.586843756221523,12.9
88,10000003,88,121,73.8,worker,1,0,171,0.003968340359022684,13.200000000000001
89,10000003,88,121,73.8,worker,1,0,186,0.008460611598825784,17.5
90,10000003,88,121,73.8,resident,2,12,23,0.5857213815878671,11.100000000000001
91,10000003,88,121,73.8,worker,1,0,138,0.017248413918677843,15.200000000000001
92,10000003,88,121,73.8,worker,16,4,156,1.044591293586481,16.900000000000002
93,10000003,88,121,73.8,resident,0,1,41,3.890419420617234e-6,13.5
94,10000003,88,121,73.8,worker,21,8,112,3.2773034940739745,13.600000000000001
95,10000003,88,121,73.8,worker,6,1,181,2.7853189928662485,12.3
96,10000003,88,121,73.8,worker,1,0,200,0.1479169146564589,17.1
97,10000003,88,121,73.8,worker,1,0,198,3.3928231282886275e-14,13.9
98,10000003,88,121,73.8,resident,0,1,15,0.001190982904616012,9.4
99,10000003,88,121,73.8,resident,1,1,34,0.06608739551647613,22.6
100,10000003,88,121,73.8,worker,1,0,109,0.006953113510735174,12.0
101,10000003,88,121,73.8,worker,12,3,125,3.7179663205000275,11.200000000000001
102,10000003,88,121,73.8,worker,1,0,123,2.4721917696940604e-5,12.100000000000001
103,10000003,88,121,73.8,resident,0,1,69,0.0009006470289407492,12.100000000000001
104,10000003,88,121,73.8,worker,1,0,126,1.8901749921899086e-15,13.100000000000001
105,10000003,88,121,73.8,worker,8,6,136,1.1652039419809044,15.100000000000001
106,10000003,88,121,73.8,resident,0,2,45,0.07301354265637505,10.4
107,10000003,88,121,73.8,worker,1,0,93,0.023826004248923994,11.100000000000001
108,10000003,88,121,73.8,worker,1,1,187,0.20733413855381838,12.100000000000001
109,10000003,88,121,73.8,worker,1,0,124,0.0053311032783349525,8.9
110,10000003,88,121,73.8,worker,20,6,127,1.5889051019014853,11.700000000000001
111,10000003,88,121,73.8,worker,2,0,139,0.11318135532010484,10.4
112,10000003,88,121,73.8,worker,3,0,109,0.03098349253478342,12.4
113,10000003,88,121,73.8,worker,1,0,147,1.6700496874923964e-6,10.100000000000001
114,10000003,88,121,73.8,worker,1,0,165,4.626668024631676e-12,10.700000000000001
115,10000003,88,121,73.8,worker,6,1,144,1.0051176120910277,11.4
116,10000003,88,121,73.8,worker,1,0,163,0.00010831648658531864,13.0
117,10000003,88,121,73.8,worker,1,0,185,0.00010550254872694223,11.100000000000001
118,10000003,88,121,73.8,worker,1,0,102,0.0012681952442980214,11.4
119,10000003,88,121,73.8,worker,1,0,167,3.736752018075119e-6,10.4
120,10000003,88,121,73.8,worker,1,0,124,0.00033381837783399434,8.200000000000001
121,10000003,88,121,73.8,worker,7,1,111,0.6367470169312653,9.700000000000001
122,10000003,88,121,73.8,worker,1,0,166,0.008765133797084669,10.600000000000001
123,10000003,88,121,73.8,resident,0,3,51,0.20792104018438692,9.700000000000001
124,10000003,88,121,73.8,resident,0,1,86,0.0629213958677198,9.4
125,10000003,88,121,73.8,resident,0,1,30,0.00030112805914481893,16.7
126,10000003,88,121,73.8,resident,0,1,70,0.0203676915239127,13.8
127,10000003,88,121,73.8,worker,1,0,162,0.00018433962951078128,25.700000000000003
128,10000003,88,121,73.8,worker,1,0,129,0.005000806154542855,9.8
129,10000003,88,121,73.8,worker,1,0,174,0.24421257764010024,10.9
130,10000003,88,121,73.8,worker,1,0,101,2.261420887042409e-5,11.700000000000001
131,10000003,88,121,73.8,resident,0,1,68,0.025868813861581685,11.5
132,10000003,88,121,73.8,resident,0,7,44,0.30445635519652325,10.0
133,10000003,88,121,73.8,worker,1,0,169,0.001980166497156694,9.0
134,10000003,88,121,73.8,worker,2,0,140,0.00819591258792959,10.100000000000001
135,10000003,88,121,73.8,resident,0,2,10,0.035128290020639365,15.100000000000001
136,10000003,88,121,73.8,worker,1,0,126,1.4967577960325098e-7,18.0
137,10000003,88,121,73.8,worker,1,0,171,1.991113790474128e-6,9.200000000000001
138,10000003,88,121,73.8,worker,4,1,117,0.29830073723390016,12.4
139,10000003,88,121,73.8,worker,8,2,148,1.4897713248296471,10.9
140,10000003,88,121,73.8,resident,0,1,17,0.0004893572526736837,14.200000000000001
141,10000003,88,121,73.8,worker,1,0,195,0.0005455903980612393,11.5
142,10000003,88,121,73.8,worker,3,1,152,0.34594279372613557,16.1
143,10000003,88,121,73.8,resident,9,22,83,3.976441497434787,9.9
144,10000003,88,121,73.8,worker,1,0,115,3.728028357093564e-6,17.6
145,10000003,88,121,73.8,worker,1,0,124,4.9390699625931875e-5,11.600000000000001
146,10000003,88,121,73.8,worker,1,0,139,0.24312265843789274,14.100000000000001
147,10000003,88,121,73.8,resident,0,1,20,0.029003508845755258,7.7
148,10000003,88,121,73.8,worker,1,0,181,8.772861352938618e-7,9.700000000000001
149,10000003,88,121,73.8,resident,0,1,9,0.014958757464750765,15.4
150,10000003,88,121,73.8,resident,12,18,83,2.5469727670319595,23.1
151,10000003,88,121,73.8,worker,1,0,168,7.273872235396781e-11,8.3
152,10000003,88,121,73.8,worker,11,3,146,2.5700501212382547,15.9
153,10000003,88,121,73.8,resident,0,1,13,1.1960052657050931e-8,17.6
154,10000003,88,121,73.8,worker,1,0,114,0.003656831863931743,17.5
155,10000003,88,121,73.8,worker,11,1,135,1.7697669891732855,9.600000000000001
156,10000003,88,121,73.8,resident,0,1,30,0.10493595642000685,9.200000000000001
157,10000003,88,121,73.8,resident,0,1,1,0.07316708097008029,11.0
158,10000003,88,121,73.8,worker,1,0,173,0.10368340396846788,15.9
159,10000003,88,121,73.8,worker,37,12,127,8.33071965437478,18.1
160,10000003,88,121,73.8,worker,1,0,168,0.005179757750083845,15.200000000000001
161,10000003,88,121,73.8,worker,16,8,137,2.3492969981056637,10.4
162,10000003,88,121,73.8,worker,2,0,118,0.002440951419065332,10.9
163,10000003,88,121,73.8,worker,2,0,153,0.08291201656129071,10.5
164,10000003,88,121,73.8,worker,1,0,128,1.2041310109612257e-5,10.4
165,10000003,88,121,73.8,worker,2,2,117,0.2589560844620224,13.700000000000001
166,10000003,88,121,73.8,worker,1,0,107,4.41968711130941e-7,12.700000000000001
167,10000003,88,121,73.8,worker,9,4,188,2.1508200817662884,12.9
168,10000003,88,121,73.8,worker,10,2,94,0.8759608514403459,17.1
169,10000003,88,121,73.8,worker,1,0,147,4.74772113485542e-5,13.9
170,10000003,88,121,73.8,worker,1,1,148,0.0701857256315107,11.100000000000001
171,10000003,88,121,73.8,worker,1,0,101,3.429120299991368e-5,14.700000000000001
172,10000003,88,121,73.8,worker,16,9,128,1.463246464471978,12.100000000000001
173,10000003,88,121,73.8,resident,0,2,66,0.21096897607216247,13.8
174,10000003,88,121,73.8,worker,1,0,162,4.5637349066962435e-10,16.3
175,10000003,88,121,73.8,worker,1,0,112,3.232013642889573e-5,12.700000000000001
176,10000003,88,121,73.8,worker,1,0,97,0.0005594661204123143,11.100000000000001
177,10000003,88,121,73.8,worker,1,0,132,2.3739395165659053e-6,16.7
178,10000003,88,121,73.8,worker,1,0,199,0.00041748100348471445,9.200000000000001
179,10000003,88,121,73.8,worker,1,0,165,0.007827432037212837,12.3
180,10000003,88,121,73.8,worker,1,0,142,1.6757093164243674e-7,12.700000000000001
181,10000003,88,121,73.8,resident,0,1,25,0.00013772570334587603,13.0
182,10000003,88,121,73.8,worker,1,0,137,0.0020749081536256602,10.3
183,10000003,88,121,73.8,resident,0,1,35,0.0005376349784912529,14.0
184,10000003,88,121,73.8,resident,5,3,1,0.5483004913637058,8.8
185,10000003,88,121,73.8,worker,1,0,164,8.455198425961054e-8,18.6
186,10000003,88,121,73.8,worker,1,0,131,0.002230850025372201,9.1
187,10000003,88,121,73.8,resident,6,8,67,0.9610125434951429,17.0
188,10000003,88,121,73.8,worker,1,0,125,0.002055219543432584,10.3
189,10000003,88,121,73.8,resident,3,5,80,0.6278973110919405,10.100000000000001
190,10000003,88,121,73.8,worker,1,0,166,0.00419330800681762,14.700000000000001
191,10000003,88,121,73.8,worker,25,10,99,6.060500700337756,12.4
192,10000003,88,121,73.8,worker,3,2,174,0.48070979272853276,17.0
193,10000003,88,121,73.8,resident,2,1,58,0.10061058947918691,15.8
194,10000003,88,121,73.8,resident,1,1,44,0.026444060660184003,12.700000000000001
195,10000003,88,121,73.8,resident,0,1,87,0.0004630137931661172,21.8
196,10000003,88,121,73.8,resident,0,1,76,6.689933240544265e-5,15.4
197,10000003,88,121,73.8,worker,15,7,130,1.663877320361541,11.5
