run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,t_first_detection,OB_declared,t_OB_on,t_OB_off,I_cum_OB_on,Det_cum_OB_on,F_max,Iso_max,I_tot_staff,Det_tot_staff,I_tot_res,Det_tot_res,FTE_def_max,sim_duration
1,10000003,88,121,73.79999999999998,resident,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,10.100000000000001
2,10000003,88,121,73.79999999999998,worker,3.1,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,11.100000000000001
3,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,14.100000000000001
4,10000003,88,121,73.79999999999998,worker,10.100000000000001,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,11.100000000000001
5,10000003,88,121,73.79999999999998,resident,3.1,false,NaN,NaN,-1,-1,0,0,0,0,2,1,0.0,13.100000000000001
6,10000003,88,121,73.79999999999998,worker,5.1000000000000005,true,32.1,71.10000000000001,71,12,0,0,104,63,85,62,0.0,71.10000000000001
7,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,12.100000000000001
8,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,14.100000000000001
9,10000003,88,121,73.79999999999998,resident,15.100000000000001,true,19.1,81.10000000000001,16,3,0,0,75,43,67,46,0.0,81.10000000000001
10,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,14.100000000000001
11,10000003,88,121,73.79999999999998,resident,2.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,12.100000000000001
12,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,10.100000000000001
13,10000003,88,121,73.79999999999998,worker,4.1000000000000005,true,12.100000000000001,59.1,28,8,0,0,95,58,79,55,0.0,59.1
14,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,16.1
15,10000003,88,121,73.79999999999998,worker,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,12.100000000000001
16,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,13.100000000000001
17,10000003,88,121,73.79999999999998,worker,8.1,true,15.100000000000001,47.1,59,9,0,0,106,55,84,58,0.0,47.1
18,10000003,88,121,73.79999999999998,worker,3.1,false,NaN,NaN,-1,-1,0,0,12,7,5,4,0.0,31.1
